"Team","total_wins","total_losses","win_pct","total_pts","total_opp_pts","avg_fgpct","avg_opp_fgpct","total_rebounds","total_turnovers","total_assists"
"Indiana State",155,141,0.523648648648649,23367,22830,0.445830721003135,0.438598746081505,10080,4010,4300
"Iona",196,113,0.634304207119741,24461,23139,0.450884735202492,0.434772585669782,10400,3798,4866
"Iowa",169,111,0.603571428571429,24036,22374,0.465535353535354,0.451511784511785,10093,3128,5103
"Iowa State",173,110,0.6113074204947,22131,20399,0.462435810810811,0.42822972972973,9343,3391,4381
"Jackson State",130,163,0.443686006825939,20326,21217,0.403945161290323,0.431964516129032,10236,3997,3540
"Jacksonville",146,153,0.488294314381271,22067,22090,0.443652733118971,0.442974276527331,10029,3894,3890
"Jacksonville State",169,138,0.550488599348534,22990,22080,0.443777089783282,NA,10788,3918,4223
"James Madison",167,123,0.575862068965517,23237,22113,0.450083067092652,0.433210862619808,10283,3727,4059
"Kansas",229,71,0.763333333333333,24481,21814,0.477347133757962,0.41375796178344,10849,3774,5047
"Kansas City",108,144,0.428571428571429,18371,18500,0.429484496124031,0.444306201550388,8031,3100,3034
"Kansas State",179,141,0.559375,23136,22452,0.440840840840841,0.431249249249249,10238,4150,4715
"Kennesaw State",127,177,0.417763157894737,22489,23215,0.437144694533762,0.45324115755627,10104,4009,4131
"Kent State",197,114,0.633440514469453,24166,22812,0.437121951219512,0.430701219512195,11006,3820,4032
"Kentucky",213,84,0.717171717171717,24486,21667,0.473348534201954,0.417244299674267,10988,3513,4600
"La Salle",123,171,0.418367346938776,21524,22435,0.42421935483871,0.450241935483871,9606,3716,3992
"Lafayette",81,161,0.334710743801653,18143,19345,0.433698113207547,0.451218867924528,7976,3116,3762
"Lamar",138,162,0.46,22728,22523,0.435171974522293,0.442359872611465,10487,4227,4329
"Lehigh",138,144,0.48936170212766,21302,21147,0.454595238095238,0.438323129251701,9189,3620,4109
"Liberty",206,122,0.628048780487805,24005,21532,0.4663353115727,0.423356083086053,10069,3768,4903
"Lindenwood",33,59,0.358695652173913,6593,6982,0.417458333333333,0.443416666666667,2994,1151,995
"Lipscomb",183,131,0.582802547770701,25673,24280,0.464819571865443,0.440318042813456,10857,4055,5078
"Little Rock",135,158,0.460750853242321,22066,22062,0.44823642172524,0.436067092651757,9844,3929,4171
"Long Beach State",103,119,0.463963963963964,17654,17968,0.442303797468354,0.447147679324895,7894,3171,3205
"Long Island University",124,160,0.436619718309859,21407,21969,0.428859531772575,0.437498327759197,10168,4136,3972
"Longwood",140,175,0.444444444444444,23044,23189,0.442524691358025,0.447712962962963,10130,4277,3899
"Louisiana",189,123,0.605769230769231,24999,23597,0.450015384615385,0.442966153846154,11115,4158,4462
"Louisiana State",152,125,0.548736462093863,22050,21430,0.451406896551724,0.436527586206897,9736,3593,3767
"Louisiana Tech",201,109,0.648387096774194,24452,22263,0.45202752293578,0.422422018348624,10891,3864,4576
"Louisiana-Monroe",125,174,0.418060200668896,22505,22763,0.431133126934985,0.433405572755418,10252,3792,4383
"Louisville",149,123,0.547794117647059,20685,19830,0.44330985915493,0.429528169014085,9821,3336,3546
"Loyola (IL)",211,112,0.653250773993808,23469,21638,0.475540059347181,0.427970326409496,9882,4054,4931
"Loyola (MD)",97,181,0.348920863309353,20141,21310,0.433682274247492,0.464117056856187,9123,3812,3785
"Loyola Marymount",131,156,0.456445993031359,21151,21539,0.44341059602649,0.454993377483444,9240,3605,3974
"Maine",79,196,0.287272727272727,19204,21071,0.426937931034483,0.460465517241379,8424,3767,3862
"Manhattan",97,149,0.394308943089431,18065,19098,0.426135338345865,0.448928571428571,8051,3661,3407
"Marist",107,177,0.376760563380282,20086,21118,0.432116666666667,0.434086666666667,9043,3716,3438
"Marquette",197,116,0.629392971246006,25179,23580,0.465309090909091,0.434954545454545,10256,3888,5041
"Marshall",171,138,0.553398058252427,25576,25014,0.446592592592593,0.447166666666667,10854,4021,5020
"Maryland",186,110,0.628378378378378,21900,20049,0.456023255813953,0.415528239202658,9827,3471,3897
"Maryland-Baltimore County",143,156,0.478260869565217,22755,22755,0.449698717948718,0.450323717948718,9567,3733,4173
"Maryland-Eastern Shore",94,177,0.346863468634686,18478,20130,0.418813620071685,0.454118279569892,8387,3792,3415
"Massachusetts",129,154,0.45583038869258,21880,22109,0.433109634551495,0.44124584717608,9965,3787,4328
"Massachusetts-Lowell",145,144,0.501730103806228,22695,22168,0.465716171617162,0.446277227722772,9616,4089,4192
"McNeese State",133,159,0.455479452054795,22712,22380,0.447918566775244,0.440521172638436,10230,3885,4012
"Memphis",208,106,0.662420382165605,24721,22948,0.453365030674847,0.413312883435583,11174,4357,4860
"Mercer",152,153,0.498360655737705,23535,22815,0.452804281345566,0.429538226299694,10563,3807,4537
"Merrimack",77,68,0.531034482758621,9613,9529,0.429452702702703,0.421993243243243,3938,1703,1791
"Miami (FL)",188,130,0.591194968553459,23920,22955,0.45672256097561,0.445457317073171,10237,3574,4277
"Miami (OH)",136,163,0.454849498327759,22527,22508,0.440761904761905,0.443942857142857,9745,3807,4036
"Michigan",212,115,0.648318042813456,25203,23202,0.460692753623188,0.433205797101449,10855,3521,4813
"Michigan State",213,86,0.712374581939799,23156,20667,0.467171521035599,0.403485436893204,10971,3609,5302
"Middle Tennessee",186,130,0.588607594936709,22947,22161,0.441147239263804,0.436782208588957,10643,4063,3953
"Milwaukee",144,153,0.484848484848485,23019,23049,0.443741324921136,0.440003154574132,10475,3865,4284
"Minnesota",147,155,0.486754966887417,22800,22804,0.435691588785047,0.441566978193146,10172,3497,4690
"Mississippi",154,125,0.551971326164875,21574,21033,0.43539590443686,0.437856655290102,9402,3419,4000
"Mississippi State",184,134,0.578616352201258,23989,22757,0.45227027027027,0.422453453453453,11231,4223,4401
"Mississippi Valley State",41,253,0.139455782312925,19302,24656,0.390621359223301,0.480585760517799,9045,4350,3206
"Missouri",136,169,0.445901639344262,22667,22787,0.437437106918239,0.433801886792453,9931,3872,4018
"Missouri State",150,149,0.501672240802676,21867,21429,0.444238095238095,0.431936507936508,10269,3714,3812
"Missouri-Kansas City",24,31,0.436363636363636,3847,3704,0.441421052631579,0.445894736842105,1604,707,731
"Monmouth",158,142,0.526666666666667,22792,23018,0.427432601880878,0.421614420062696,10350,3918,3881
"Montana",201,110,0.646302250803859,24251,22732,0.471125,0.443048780487805,9914,3669,4429
"Montana State",150,148,0.503355704697987,23441,23207,0.447261146496815,0.454414012738854,9817,3708,4070
"Morehead State",177,137,0.563694267515924,23620,22695,0.444306990881459,0.434960486322188,11074,4143,4598
"Morgan State",112,168,0.4,21228,21825,0.419989795918367,0.449547619047619,9579,4004,3716
"Mount St. Mary's",143,157,0.476666666666667,21370,21725,0.43448417721519,0.435892405063291,9594,4003,3943
"Murray State",198,109,0.644951140065147,24238,21931,0.464554858934169,0.434780564263323,10515,3576,4566
"NC State",142,119,0.544061302681992,20703,19930,0.447612546125461,0.451107011070111,8955,2877,3621
"NJIT",120,167,0.418118466898955,20985,21649,0.427880398671096,0.443538205980066,9548,3611,3658
"Navy",155,139,0.527210884353742,20445,20153,0.433813114754098,0.440413114754098,9789,3653,4048
"Nebraska",152,155,0.495114006514658,23144,22886,0.438614197530864,0.426771604938272,10631,3740,4180
